Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T106,High,California,Data Privacy,GDPR,IT,On Prem Cloud,2021-03-25 23:29:33,2021-03-25 23:37:40,2021-06-03 18:54:09,Martina,Excellent (5),Advised for a risk assessment,,Mail
T107,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,2021-03-27 15:20:39,2021-03-27 15:21:40,2021-03-27 15:40:48,Sean,Unsatisfactory (2),Resolved,No,Ticket Portal
T108,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,2021-03-27 15:20:39,2021-03-27 15:21:40,2021-03-27 15:40:48,Martina,Unsatisfactory (2),Resolved,No,Mail
T109,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-03-27 16:21:56,2021-03-27 16:24:59,2021-06-03 19:36:24,Allan,Excellent (5),Resolved,,Ticket Portal
T11,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,2021-01-07 14:38:25,2021-01-07 14:41:55,2021-09-03 17:36:57,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T110,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,2021-03-27 17:44:51,2021-03-27 18:14:42,2021-06-03 19:26:23,Martina,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T111,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,2021-03-31 09:37:19,2021-03-31 09:37:50,2021-03-31 09:40:00,Allan,Satisfactory (3),Resolved,,Ticket Portal
T112,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-03-31 09:46:50,2021-03-31 09:47:05,2021-03-31 09:51:17,Allan,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T113,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-03-31 09:46:51,2021-03-31 09:47:20,2021-06-03 19:56:04,Allan,Satisfactory (3),Resolved,,Ticket Portal
T114,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,2021-03-31 11:13:11,2021-03-31 11:13:42,2021-03-31 11:38:41,Allan,Satisfactory (3),Resolved,,Ticket Portal
T115,High,Florida,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,2021-03-31 15:53:46,2021-03-31 15:56:06,2021-06-04 12:27:03,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T116,Low,Oregon,Data Privacy,PCI-DSS,Legal,On Prem Server,2021-04-01 00:35:59,2021-04-01 00:42:15,2021-04-06 16:58:46,Martina,Good (4),Resolved,,Personal Call
T117,High,New York,Data Privacy,GDPR,HR,On Prem Cloud,2021-04-01 00:38:42,2021-04-01 10:24:50,2021-04-12 17:05:50,Bob,Excellent (5),Resolved,,Ticket Portal
T118,High,California,Data Leak,Insider Threat,Legal,On Prem Server,2021-04-01 15:51:30,2021-04-01 15:54:16,2021-04-07 18:33:53,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T119,Low,Virginia,Data Privacy,PCI-DSS,HR,On Prem Server,2021-04-02 02:55:42,2021-04-03 07:29:28,2021-08-30 19:26:07,Martina,Excellent (5),Recommended Threat Assessment,,Mail
T12,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,2021-01-07 17:14:22,2021-01-07 18:23:03,2021-01-18 11:03:29,Allan,Good (4),Resolved,,Personal Call
T120,High,Pennsylvania,Data Privacy,Privacy Assessment,Legal,On Prem Cloud,2021-04-05 10:14:22,2021-04-05 10:18:07,2021-04-07 18:26:18,Aleena,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T121,High,Florida,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,2021-04-05 14:51:39,2021-04-05 14:51:56,2021-05-05 10:31:13,Allan,Good (4),Advised for a risk assessment,,Ticket Portal
T122,High,California,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-04-05 15:29:26,2021-04-05 15:30:01,2021-04-08 16:49:18,Charlotte,Unsatisfactory (2),Resolved,No,Mail
T123,High,Rhode Island,Cyber Consultation,Secure Development,HR,On Prem Server,2021-04-07 05:50:54,2021-04-07 09:55:18,2021-05-04 16:23:53,Sean,Excellent (5),Advised for a risk assessment,,Mail
T124,Medium,New York,Cyber Consultation,New Application Launch,Manufacturing,On Prem Server,2021-04-07 13:55:43,2021-04-07 13:59:09,2021-04-13 16:50:25,Charles,Excellent (5),Recommended Threat Assessment,,Personal Call
T125,Medium,Virginia,Data Privacy,GDPR,IT,On Prem Cloud,2021-04-07 18:37:10,2021-04-07 18:37:45,2021-04-08 17:28:07,Aleena,Excellent (5),Advised for a risk assessment,,Personal Call
T126,High,Florida,Cyber Security Breach,Spyware,Finance,On Prem Server,2021-04-07 20:36:29,2021-04-07 20:37:09,2021-05-17 17:35:17,Aleena,Good (4),Recommended Threat Assessment,,Ticket Portal
T127,High,Texas,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-04-08 11:15:15,2021-04-08 11:15:41,2021-05-26 11:15:39,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T128,High,Virginia,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,2021-04-08 12:53:38,2021-04-08 12:54:01,2021-04-08 22:00:39,Aleena,Good (4),Resolved,,Ticket Portal
T129,Low,Ohio,Data Privacy,Privacy Assessment,Marketing,On Prem Server,2021-04-08 18:58:42,2021-04-08 19:08:02,2021-04-12 14:37:13,Cinderalla,Excellent (5),Advised for a risk assessment,,Personal Call
T13,Low,California,Data Leak,Insider Threat,HR,On Prem Cloud,2021-01-07 17:14:22,2021-01-07 18:23:03,2021-01-18 11:03:29,Allan,Excellent (5),Resolved,,Ticket Portal
T130,Medium,New York,Security Gap,Unauthorized software,Finance,On Prem Server,2021-04-08 19:26:29,2021-04-08 19:45:33,2021-04-12 09:28:24,Aleena,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T131,Low,Arizona,Data Privacy,HIPAA,Finance,On Prem Cloud,2021-04-10 01:56:54,2021-04-10 02:02:35,2021-04-28 04:14:41,Martina,Excellent (5),Recommended Threat Assessment,,Personal Call
T132,High,Georgia,Cyber Security Breach,Firewall,Finance,On Prem Cloud,2021-04-12 14:04:00,2021-04-12 14:06:30,2021-04-13 18:45:15,Aleena,Satisfactory (3),Resolved,,Ticket Portal
T133,Low,Arizona,Cyber Consultation,Application Offboarding,IT,Vendor Cloud,2021-04-12 16:39:54,2021-04-12 16:43:01,2021-04-19 17:00:22,Aleena,Satisfactory (3),Resolved,,Mail
T134,High,Texas,Cyber Security Breach,Spyware,Marketing,On Prem Server,2021-04-12 20:14:18,2021-04-12 20:14:41,2021-05-06 12:53:22,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T135,High,California,Data Privacy,PCI-DSS,Finance,On Prem Server,2021-04-12 20:17:50,2021-04-12 20:18:10,2021-04-16 12:57:12,Robbin,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T136,High,New York,Cyber Security Breach,Trojan Attack,Finance,On Prem Cloud,2021-04-13 14:45:32,2021-04-13 14:48:05,2021-04-15 14:21:20,Sebastian,Unsatisfactory (2),Resolved,No,Mail
T137,Medium,New York,Cyber Consultation,Segregation of Duties,Finance,On Prem Cloud,2021-04-13 18:25:28,2021-04-13 18:49:08,2021-04-19 14:07:19,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T138,Low,California,Data Leak,Phishing,Marketing,On Prem Server,2021-04-13 22:55:28,2021-04-13 23:29:00,2021-05-05 20:51:21,Sean,Excellent (5),Advised for a risk assessment,,Ticket Portal
T139,High,Massachusetts,Data Leak,Vishing,HR,On Prem Server,2021-04-14 21:46:44,2021-04-14 21:49:55,2021-04-19 18:13:18,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T14,High,Florida,Cyber Consultation,Encryption,IT,On Prem Server,2021-01-07 20:22:30,2021-01-07 20:23:21,2021-01-11 17:45:13,Veronica,Unsatisfactory (2),Resolved,No,Mail
T140,High,Ohio,Cyber Consultation,Access Management,Legal,On Prem Server,2021-04-15 18:16:57,2021-04-15 18:20:33,2021-04-19 09:53:38,Michael,Excellent (5),Advised for a risk assessment,,Personal Call
T141,Low,Texas,Data Leak,Insider Threat,Finance,Vendor Cloud,2021-04-15 18:50:54,2021-04-15 18:51:12,2021-04-15 18:53:07,Michael,Excellent (5),Resolved,,Ticket Portal
T142,High,New Mexico,Data Privacy,HIPAA,Finance,Vendor Cloud,2021-04-15 20:16:17,2021-04-15 20:18:42,2021-04-20 15:50:11,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T143,Low,Texas,Data Privacy,GDPR,Legal,On Prem Server,2021-04-16 18:38:33,2021-04-16 18:40:18,2021-04-27 20:27:00,Aleena,Good (4),Resolved,,Ticket Portal
T144,High,New York,Data Leak,Vishing,Finance,On Prem Cloud,2021-04-19 11:21:48,2021-04-19 11:22:13,2021-04-19 19:32:30,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T145,Medium,Nevada,Security Gap,Password non-expiry,IT,On Prem Server,2021-04-19 14:05:56,2021-04-19 14:06:24,2021-04-27 11:05:49,Kareema,Excellent (5),Resolved,,Ticket Portal
T146,Low,California,Data Privacy,GDPR,Manufacturing,Vendor Cloud,2021-04-19 15:49:15,2021-04-19 15:51:10,2021-04-19 15:51:10,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal
T147,Medium,Illinois,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-04-19 16:50:23,2021-04-19 16:51:09,2021-04-20 11:04:03,Michael,Good (4),Resolved,,Personal Call
T148,Low,California,Cyber Consultation,New Application Launch,IT,On Prem Cloud,2021-04-20 07:11:01,2021-04-20 07:15:32,2021-06-30 09:29:43,Michael,Excellent (5),Resolved,,Ticket Portal
T149,High,Pennsylvania,Cyber Security Breach,Malware Attack,HR,On Prem Cloud,2021-04-20 14:36:41,2021-04-20 14:37:11,2021-04-20 15:15:40,Michael,Good (4),Resolved,,Ticket Portal
T15,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,2021-01-10 17:10:40,2021-01-10 17:15:26,2021-01-20 10:34:05,Bob,Satisfactory (3),Advised for a risk assessment,,Personal Call
T150,Low,California,Security Gap,Unauthorized access,IT,Vendor Cloud,2021-04-20 15:37:47,2021-04-20 15:45:35,2021-04-23 18:44:18,Cinderalla,Good (4),Resolved,,Ticket Portal
T151,High,Utah,Data Privacy,GDPR,Marketing,On Prem Server,2021-04-20 17:31:20,2021-04-20 17:37:43,2021-04-20 20:30:03,Martina,Satisfactory (3),Recommended Threat Assessment,,Mail
T152,Low,North Carolina,Data Privacy,HIPAA,Marketing,On Prem Server,2021-04-20 17:55:42,2021-04-20 17:57:43,2021-04-27 19:50:22,Sebastian,Unsatisfactory (2),Recommended Threat Assessment,No,Mail
T153,Low,Arizona,Data Privacy,HIPAA,HR,On Prem Server,2021-04-20 18:45:24,2021-04-20 18:45:57,2021-04-20 18:47:18,Sean,Excellent (5),Resolved,,Mail
T154,High,Texas,Cyber Consultation,New Application Launch,Finance,On Prem Cloud,2021-04-20 19:59:07,2021-04-20 19:59:47,2021-04-21 12:56:41,Sean,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T155,High,Florida,Cyber Security Breach,Firewall,HR,On Prem Server,2021-04-20 23:49:28,2021-04-21 11:23:46,2021-04-21 11:23:46,Sean,Satisfactory (3),Resolved,,Personal Call
T156,High,Minnesota,Cyber Consultation,Third Party Engagement,IT,On Prem Server,2021-04-21 10:56:18,2021-04-21 10:59:08,2021-04-21 11:00:07,Sean,Good (4),Resolved,,Ticket Portal
T157,Medium,North Carolina,Data Privacy,PCI-DSS,IT,Vendor Cloud,2021-04-21 11:45:29,2021-04-21 11:45:51,2021-04-22 14:50:54,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T158,Medium,California,Cyber Consultation,Segregation of Duties,Manufacturing,On Prem Server,2021-04-21 11:58:49,2021-04-21 11:59:06,2021-04-22 14:49:27,Kareema,Good (4),Resolved,,Mail
T159,Medium,Florida,Cyber Consultation,Application Offboarding,IT,On Prem Server,2021-04-21 22:38:34,2021-04-21 23:30:13,2021-04-26 19:35:43,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T16,Medium,California,Data Leak,Vishing,Marketing,On Prem Server,2021-01-10 17:10:40,2021-01-10 17:15:26,2021-01-20 10:34:05,Bob,Excellent (5),Advised for a risk assessment,,Mail
T160,High,California,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,2021-04-22 02:13:54,2021-04-22 09:47:12,2021-05-03 09:49:34,Sean,Excellent (5),Resolved,,Ticket Portal
T161,High,California,Cyber Consultation,Segregation of Duties,IT,On Prem Server,2021-04-22 10:17:50,2021-04-22 10:18:17,2021-04-22 12:40:53,Allan,Excellent (5),Resolved,,Mail
T162,Low,California,Cyber Consultation,Application Offboarding,Finance,On Prem Server,2021-04-22 11:08:08,2021-04-22 11:11:08,2021-04-22 12:35:57,Allan,Good (4),Recommended Threat Assessment,,Mail
T163,Low,Virginia,Security Gap,Unauthorized access,HR,On Prem Server,2021-04-22 11:18:22,2021-04-22 11:18:38,2021-04-22 12:33:25,Allan,Good (4),Advised for a risk assessment,,Personal Call
T164,Medium,Arizona,Cyber Consultation,Application Offboarding,HR,Vendor Cloud,2021-04-22 14:54:20,2021-04-22 14:54:36,2021-04-27 11:00:04,Kareema,Unsatisfactory (2),Recommended Threat Assessment,No,Personal Call
T165,Low,New York,Cyber Consultation,Encryption,HR,On Prem Server,2021-04-22 15:21:42,2021-04-22 15:22:03,2021-04-22 18:59:34,Kareema,Unsatisfactory (2),Advised for a risk assessment,No,Ticket Portal
T166,Medium,New York,Cyber Consultation,New Application Launch,HR,On Prem Server,2021-04-23 13:18:53,2021-04-23 13:22:23,2021-04-26 14:13:34,Sean,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T167,Low,Oregon,Data Privacy,GDPR,Finance,On Prem Cloud,2021-04-23 16:42:11,2021-04-23 16:44:40,2021-04-23 17:07:19,Bob,Good (4),Resolved,,Ticket Portal
T168,High,Illinois,Security Gap,Obsolete Software,IT,Vendor Cloud,2021-04-25 16:48:41,2021-04-25 16:48:41,2021-04-25 16:48:41,Bob,Excellent (5),Resolved,,Ticket Portal
T169,High,Minnesota,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-04-25 16:50:31,2021-04-26 06:57:49,2021-05-18 17:58:50,Robbin,Excellent (5),Advised for a risk assessment,,Personal Call
T17,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,2021-01-10 17:24:24,2021-01-10 17:26:05,2021-01-21 20:07:29,Aleena,Unsatisfactory (2),Resolved,No,Ticket Portal
T170,Low,Florida,Data Privacy,HIPAA,Legal,On Prem Cloud,2021-04-26 14:26:15,2021-04-26 14:30:26,2021-04-28 13:05:31,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T171,High,Florida,Cyber Security Breach,Trojan Attack,Marketing,On Prem Server,2021-04-26 21:59:30,2021-04-27 11:01:52,2021-06-24 15:37:12,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T172,Low,Arizona,Data Privacy,HIPAA,Legal,Vendor Cloud,2021-04-27 19:03:33,2021-04-27 19:07:11,2021-05-18 16:00:09,Charlotte,Excellent (5),Advised for a risk assessment,,Mail
T173,Medium,Missouri,Cyber Consultation,Third Party Engagement,HR,Vendor Cloud,2021-04-27 19:03:33,2021-04-27 19:07:11,2021-05-18 16:00:09,Charlotte,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T174,High,Louisiana,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-04-27 19:20:01,2021-04-27 19:31:20,2021-04-29 21:00:26,Sylviya,Excellent (5),Resolved,,Ticket Portal
T175,High,Tennessee,Data Privacy,PCI-DSS,HR,On Prem Server,2021-04-27 19:20:01,2021-04-27 19:31:20,2021-04-29 21:00:26,Sylviya,Excellent (5),Advised for a risk assessment,,Mail
T176,Low,Virginia,Data Privacy,Privacy Assessment,HR,Vendor Cloud,2021-04-28 21:21:24,2021-04-28 21:24:34,2021-04-30 18:00:53,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T177,High,Kansas,Security Gap,Password non-expiry,HR,Vendor Cloud,2021-04-28 21:21:24,2021-04-28 21:24:34,2021-04-30 18:00:53,Martina,Good (4),Advised for a risk assessment,,Personal Call
T178,Medium,Virginia,Cyber Consultation,Encryption,Finance,On Prem Server,2021-04-28 21:49:04,2021-04-28 22:09:29,2021-05-14 00:11:24,Sean,Satisfactory (3),Advised for a risk assessment,,Mail
T179,Low,Arizona,Data Privacy,HIPAA,IT,On Prem Server,2021-04-28 21:49:04,2021-04-28 22:09:29,2021-05-14 00:11:24,Sean,Excellent (5),Advised for a risk assessment,,Mail
T18,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,2021-01-10 17:24:24,2021-01-10 17:26:05,2021-01-21 20:07:29,Aleena,Satisfactory (3),Advised for a risk assessment,,Mail
T180,Low,Pennsylvania,Cyber Consultation,New Application Launch,HR,On Prem Server,2021-04-28 22:11:07,2021-04-28 22:11:07,2021-04-28 22:11:07,Sean,Satisfactory (3),Resolved,,Personal Call
T181,Low,Colorado,Security Gap,Password non-expiry,HR,Vendor Cloud,2021-04-28 22:11:07,2021-04-28 22:11:07,2021-04-28 22:11:07,Sean,Good (4),Advised for a risk assessment,,Ticket Portal
T182,Low,Illinois,Data Privacy,HIPAA,Finance,On Prem Server,2021-04-28 22:17:54,2021-04-28 22:19:59,2021-05-04 16:20:45,Sean,Unsatisfactory (2),Resolved,Yes,Personal Call
T183,High,Illinois,Cyber Security Breach,Firewall,Finance,On Prem Server,2021-04-28 22:17:54,2021-04-28 22:19:59,2021-05-04 16:20:45,Sean,Good (4),Resolved,,Ticket Portal
T184,Low,Texas,Data Privacy,HIPAA,Finance,Vendor Cloud,2021-04-29 01:56:24,2021-04-29 07:47:41,2021-07-16 12:57:21,Robbin,Good (4),Advised for a risk assessment,,Mail
T185,High,Oregon,Cyber Consultation,Application Offboarding,Manufacturing,On Prem Server,2021-04-29 01:56:24,2021-04-29 07:47:41,2021-07-16 12:57:21,Robbin,Satisfactory (3),Recommended Threat Assessment,,Mail
T186,Low,New York,Data Leak,Phishing,IT,Vendor Cloud,2021-04-29 14:28:32,2021-04-29 14:29:07,2021-09-27 18:58:05,Robbin,Unsatisfactory (2),Resolved,Yes,Mail
T187,High,Indiana,Data Privacy,GDPR,Manufacturing,On Prem Cloud,2021-04-29 15:28:29,2021-04-29 15:28:29,2021-04-29 15:28:29,Bob,Excellent (5),Advised for a risk assessment,,Mail
T188,High,Texas,Data Privacy,HIPAA,HR,Vendor Cloud,2021-04-29 17:25:07,2021-04-29 17:25:27,2021-04-29 20:05:19,Bob,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T189,Low,Virginia,Data Leak,Insider Threat,IT,Vendor Cloud,2021-04-29 17:29:50,2021-04-29 17:30:10,2021-04-29 17:30:10,Bob,Good (4),Resolved,,Ticket Portal
T19,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,2021-01-11 12:15:51,2021-01-11 12:16:58,2021-01-13 22:08:47,Charlotte,Excellent (5),Advised for a risk assessment,,Personal Call
T190,Medium,Ohio,Data Privacy,HIPAA,HR,On Prem Server,2021-04-29 17:30:45,2021-04-29 17:47:37,2021-04-29 20:05:45,Bob,Excellent (5),Resolved,,Ticket Portal
T191,High,Ohio,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,2021-04-30 10:31:16,2021-04-30 11:49:52,2021-04-30 18:57:56,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T192,Medium,Delaware,Data Privacy,Privacy Assessment,Marketing,On Prem Cloud,2021-04-30 16:10:01,2021-04-30 16:11:11,2021-05-13 17:18:16,Bob,Excellent (5),Resolved,,Ticket Portal
T193,Low,Tennessee,Cyber Consultation,New Application Launch,HR,On Prem Cloud,2021-04-30 17:12:19,2021-04-30 17:19:00,2021-05-04 16:04:18,Charles,Good (4),Advised for a risk assessment,,Ticket Portal
T194,High,California,Data Privacy,GDPR,IT,Vendor Cloud,2021-05-03 12:46:36,2021-05-03 12:48:31,2021-06-03 16:35:26,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal
T195,High,California,Data Privacy,GDPR,IT,On Prem Server,2021-05-03 22:09:07,2021-05-03 22:12:12,2021-05-10 18:32:15,Martina,Good (4),Resolved,,Ticket Portal
T196,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-05-04 09:52:44,2021-05-04 10:12:46,2021-05-17 09:44:31,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T197,High,Maryland,Cyber Security Breach,Firewall,HR,Vendor Cloud,2021-05-04 10:11:07,2021-05-04 10:11:31,2021-05-04 11:43:40,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T198,High,Arizona,Cyber Security Breach,Malware Attack,Finance,On Prem Cloud,2021-05-04 10:26:49,2021-05-04 10:27:05,2021-05-04 11:47:07,Allan,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T199,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,2021-05-04 10:55:13,2021-05-04 10:55:31,2021-05-18 11:06:54,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T20,Low,California,Data Privacy,HIPAA,Finance,On Prem Server,2021-01-11 17:17:50,2021-01-11 17:18:56,2021-01-13 11:46:33,Kareema,Excellent (5),Resolved,,Ticket Portal
T200,High,California,Cyber Security Breach,Malware Attack,Legal,On Prem Cloud,2021-05-04 21:58:33,2021-05-04 22:13:03,2021-05-11 12:20:42,Charlotte,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T201,Low,California,Cyber Consultation,New Application Launch,Finance,Vendor Cloud,2021-05-05 00:00:56,2021-05-05 09:24:48,2021-05-07 21:30:32,Sebastian,Satisfactory (3),Resolved,,Mail
T202,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,2021-05-05 21:27:59,2021-05-05 21:45:26,2021-05-07 20:14:33,Charlotte,Good (4),Advised for a risk assessment,,Ticket Portal
T203,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,2021-05-05 21:33:49,2021-04-28 22:11:07,2021-05-10 18:30:56,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T204,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,2021-05-06 19:36:07,2021-07-08 01:39:57,2021-05-11 10:17:39,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Mail
T205,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,2021-05-06 19:47:31,2021-05-06 20:09:09,2021-05-10 11:04:50,Sylviya,Good (4),Advised for a risk assessment,,Ticket Portal
T206,High,Utah,Data Privacy,HIPAA,Legal,On Prem Cloud,2021-05-06 23:44:19,2021-05-06 23:57:45,2021-05-10 17:53:51,Martina,Good (4),Recommended Threat Assessment,,Mail
T207,High,Missouri,Data Privacy,GDPR,Manufacturing,On Prem Server,2021-05-06 23:44:19,2021-05-06 23:57:45,2021-05-10 17:53:51,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T208,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,2021-05-07 14:38:25,2021-05-07 14:41:55,2021-09-03 17:36:57,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T209,Medium,California,Security Gap,Obsolete Software,Marketing,Vendor Cloud,2021-05-07 14:38:25,2021-05-07 14:41:55,2021-09-03 17:36:57,Kareema,Satisfactory (3),Resolved,,Ticket Portal
T21,High,New York,Data Leak,Insider Threat,HR,On Prem Cloud,2021-01-11 17:17:50,2021-01-11 17:18:56,2021-01-13 11:46:33,Kareema,Unsatisfactory (2),Resolved,No,Ticket Portal
T210,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,2021-05-07 17:14:22,2021-05-07 18:23:03,2021-05-18 11:03:29,Allan,Good (4),Resolved,,Ticket Portal
