Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via,text
T100,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,2021-03-13 21:53:10,2021-03-13 21:54:06,2021-03-17 18:36:34,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Database Security Advised for a risk assessment Low IT
T101,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,2021-03-19 04:21:57,2021-03-19 04:22:22,2021-03-19 04:23:53,Benny,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal,Data Leak Insider Threat Recommended Threat Assessment High HR
T102,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-03-19 06:14:24,2021-03-19 06:16:49,2021-03-25 14:25:53,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Malware Attack Advised for a risk assessment High HR
T103,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,2021-03-20 08:44:59,2021-03-20 08:45:18,2021-03-20 08:52:51,Martina,Excellent (5),Advised for a risk assessment,,Personal Call,Cyber Consultation Secure Development Advised for a risk assessment Medium IT
T104,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,2021-03-21 18:18:12,2021-03-21 18:31:29,2021-06-09 12:11:32,Robbin,Excellent (5),Resolved,,Ticket Portal,Cyber Consultation Segregation of Duties Resolved Low Marketing
T105,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,2021-03-25 18:56:04,2021-03-25 19:49:43,2021-03-25 19:49:43,Sebastian,Excellent (5),Advised for a risk assessment,,Personal Call,Data Privacy HIPAA Advised for a risk assessment Medium HR
T106,High,California,Data Privacy,GDPR,IT,On Prem Cloud,2021-03-25 23:29:33,2021-03-25 23:37:40,2021-06-03 18:54:09,Martina,Excellent (5),Advised for a risk assessment,,Mail,Data Privacy GDPR Advised for a risk assessment High IT
T107,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,2021-03-27 15:20:39,2021-03-27 15:21:40,2021-03-27 15:40:48,Sean,Unsatisfactory (2),Resolved,No,Ticket Portal,Data Privacy PCI-DSS Resolved High IT
T108,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,2021-03-27 15:20:39,2021-03-27 15:21:40,2021-03-27 15:40:48,Martina,Unsatisfactory (2),Resolved,No,Mail,Data Privacy PCI-DSS Resolved High IT
T109,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-03-27 16:21:56,2021-03-27 16:24:59,2021-06-03 19:36:24,Allan,Excellent (5),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved Low Legal
T11,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,2021-01-07 14:38:25,2021-01-07 14:41:55,2021-09-03 17:36:57,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal,Data Leak Insider Threat Advised for a risk assessment Low IT
T110,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,2021-03-27 17:44:51,2021-03-27 18:14:42,2021-06-03 19:26:23,Martina,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal,Data Privacy Privacy Assessment Recommended Threat Assessment Medium Finance
T111,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,2021-03-31 09:37:19,2021-03-31 09:37:50,2021-03-31 09:40:00,Allan,Satisfactory (3),Resolved,,Ticket Portal,Security Gap Obsolete Software Resolved Medium Finance
T112,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-03-31 09:46:50,2021-03-31 09:47:05,2021-03-31 09:51:17,Allan,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal,Cyber Consultation New Application Launch Recommended Threat Assessment Low Finance
T113,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-03-31 09:46:51,2021-03-31 09:47:20,2021-06-03 19:56:04,Allan,Satisfactory (3),Resolved,,Ticket Portal,Data Privacy Privacy Assessment Resolved Medium IT
T114,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,2021-03-31 11:13:11,2021-03-31 11:13:42,2021-03-31 11:38:41,Allan,Satisfactory (3),Resolved,,Ticket Portal,Cyber Consultation BCP/DR Resolved Low Marketing
T115,High,Florida,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,2021-03-31 15:53:46,2021-03-31 15:56:06,2021-06-04 12:27:03,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Security Breach Malware Attack Recommended Threat Assessment High IT
T116,Low,Oregon,Data Privacy,PCI-DSS,Legal,On Prem Server,2021-04-01 00:35:59,2021-04-01 00:42:15,2021-04-06 16:58:46,Martina,Good (4),Resolved,,Personal Call,Data Privacy PCI-DSS Resolved Low Legal
T117,High,New York,Data Privacy,GDPR,HR,On Prem Cloud,2021-04-01 00:38:42,2021-04-01 10:24:50,2021-04-12 17:05:50,Bob,Excellent (5),Resolved,,Ticket Portal,Data Privacy GDPR Resolved High HR
T118,High,California,Data Leak,Insider Threat,Legal,On Prem Server,2021-04-01 15:51:30,2021-04-01 15:54:16,2021-04-07 18:33:53,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Leak Insider Threat Recommended Threat Assessment High Legal
T119,Low,Virginia,Data Privacy,PCI-DSS,HR,On Prem Server,2021-04-02 02:55:42,2021-04-03 07:29:28,2021-08-30 19:26:07,Martina,Excellent (5),Recommended Threat Assessment,,Mail,Data Privacy PCI-DSS Recommended Threat Assessment Low HR
T12,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,2021-01-07 17:14:22,2021-01-07 18:23:03,2021-01-18 11:03:29,Allan,Good (4),Resolved,,Personal Call,Cyber Consultation Application Offboarding Resolved High IT
T120,High,Pennsylvania,Data Privacy,Privacy Assessment,Legal,On Prem Cloud,2021-04-05 10:14:22,2021-04-05 10:18:07,2021-04-07 18:26:18,Aleena,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal,Data Privacy Privacy Assessment Recommended Threat Assessment High Legal
T121,High,Florida,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,2021-04-05 14:51:39,2021-04-05 14:51:56,2021-05-05 10:31:13,Allan,Good (4),Advised for a risk assessment,,Ticket Portal,Data Privacy Privacy Assessment Advised for a risk assessment High Finance
T122,High,California,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-04-05 15:29:26,2021-04-05 15:30:01,2021-04-08 16:49:18,Charlotte,Unsatisfactory (2),Resolved,No,Mail,Cyber Security Breach Malware Attack Resolved High IT
T123,High,Rhode Island,Cyber Consultation,Secure Development,HR,On Prem Server,2021-04-07 05:50:54,2021-04-07 09:55:18,2021-05-04 16:23:53,Sean,Excellent (5),Advised for a risk assessment,,Mail,Cyber Consultation Secure Development Advised for a risk assessment High HR
T124,Medium,New York,Cyber Consultation,New Application Launch,Manufacturing,On Prem Server,2021-04-07 13:55:43,2021-04-07 13:59:09,2021-04-13 16:50:25,Charles,Excellent (5),Recommended Threat Assessment,,Personal Call,Cyber Consultation New Application Launch Recommended Threat Assessment Medium Manufacturing
T125,Medium,Virginia,Data Privacy,GDPR,IT,On Prem Cloud,2021-04-07 18:37:10,2021-04-07 18:37:45,2021-04-08 17:28:07,Aleena,Excellent (5),Advised for a risk assessment,,Personal Call,Data Privacy GDPR Advised for a risk assessment Medium IT
T126,High,Florida,Cyber Security Breach,Spyware,Finance,On Prem Server,2021-04-07 20:36:29,2021-04-07 20:37:09,2021-05-17 17:35:17,Aleena,Good (4),Recommended Threat Assessment,,Ticket Portal,Cyber Security Breach Spyware Recommended Threat Assessment High Finance
T127,High,Texas,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-04-08 11:15:15,2021-04-08 11:15:41,2021-05-26 11:15:39,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation BCP/DR Advised for a risk assessment High IT
T128,High,Virginia,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,2021-04-08 12:53:38,2021-04-08 12:54:01,2021-04-08 22:00:39,Aleena,Good (4),Resolved,,Ticket Portal,Cyber Consultation New Application Launch Resolved High Manufacturing
T129,Low,Ohio,Data Privacy,Privacy Assessment,Marketing,On Prem Server,2021-04-08 18:58:42,2021-04-08 19:08:02,2021-04-12 14:37:13,Cinderalla,Excellent (5),Advised for a risk assessment,,Personal Call,Data Privacy Privacy Assessment Advised for a risk assessment Low Marketing
T13,Low,California,Data Leak,Insider Threat,HR,On Prem Cloud,2021-01-07 17:14:22,2021-01-07 18:23:03,2021-01-18 11:03:29,Allan,Excellent (5),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved Low HR
T130,Medium,New York,Security Gap,Unauthorized software,Finance,On Prem Server,2021-04-08 19:26:29,2021-04-08 19:45:33,2021-04-12 09:28:24,Aleena,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal,Security Gap Unauthorized software Recommended Threat Assessment Medium Finance
T131,Low,Arizona,Data Privacy,HIPAA,Finance,On Prem Cloud,2021-04-10 01:56:54,2021-04-10 02:02:35,2021-04-28 04:14:41,Martina,Excellent (5),Recommended Threat Assessment,,Personal Call,Data Privacy HIPAA Recommended Threat Assessment Low Finance
T132,High,Georgia,Cyber Security Breach,Firewall,Finance,On Prem Cloud,2021-04-12 14:04:00,2021-04-12 14:06:30,2021-04-13 18:45:15,Aleena,Satisfactory (3),Resolved,,Ticket Portal,Cyber Security Breach Firewall Resolved High Finance
T133,Low,Arizona,Cyber Consultation,Application Offboarding,IT,Vendor Cloud,2021-04-12 16:39:54,2021-04-12 16:43:01,2021-04-19 17:00:22,Aleena,Satisfactory (3),Resolved,,Mail,Cyber Consultation Application Offboarding Resolved Low IT
T134,High,Texas,Cyber Security Breach,Spyware,Marketing,On Prem Server,2021-04-12 20:14:18,2021-04-12 20:14:41,2021-05-06 12:53:22,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Spyware Advised for a risk assessment High Marketing
T135,High,California,Data Privacy,PCI-DSS,Finance,On Prem Server,2021-04-12 20:17:50,2021-04-12 20:18:10,2021-04-16 12:57:12,Robbin,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy PCI-DSS Recommended Threat Assessment High Finance
T136,High,New York,Cyber Security Breach,Trojan Attack,Finance,On Prem Cloud,2021-04-13 14:45:32,2021-04-13 14:48:05,2021-04-15 14:21:20,Sebastian,Unsatisfactory (2),Resolved,No,Mail,Cyber Security Breach Trojan Attack Resolved High Finance
T137,Medium,New York,Cyber Consultation,Segregation of Duties,Finance,On Prem Cloud,2021-04-13 18:25:28,2021-04-13 18:49:08,2021-04-19 14:07:19,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Consultation Segregation of Duties Recommended Threat Assessment Medium Finance
T138,Low,California,Data Leak,Phishing,Marketing,On Prem Server,2021-04-13 22:55:28,2021-04-13 23:29:00,2021-05-05 20:51:21,Sean,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Leak Phishing Advised for a risk assessment Low Marketing
T139,High,Massachusetts,Data Leak,Vishing,HR,On Prem Server,2021-04-14 21:46:44,2021-04-14 21:49:55,2021-04-19 18:13:18,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Leak Vishing Advised for a risk assessment High HR
T14,High,Florida,Cyber Consultation,Encryption,IT,On Prem Server,2021-01-07 20:22:30,2021-01-07 20:23:21,2021-01-11 17:45:13,Veronica,Unsatisfactory (2),Resolved,No,Mail,Cyber Consultation Encryption Resolved High IT
T140,High,Ohio,Cyber Consultation,Access Management,Legal,On Prem Server,2021-04-15 18:16:57,2021-04-15 18:20:33,2021-04-19 09:53:38,Michael,Excellent (5),Advised for a risk assessment,,Personal Call,Cyber Consultation Access Management Advised for a risk assessment High Legal
T141,Low,Texas,Data Leak,Insider Threat,Finance,Vendor Cloud,2021-04-15 18:50:54,2021-04-15 18:51:12,2021-04-15 18:53:07,Michael,Excellent (5),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved Low Finance
T142,High,New Mexico,Data Privacy,HIPAA,Finance,Vendor Cloud,2021-04-15 20:16:17,2021-04-15 20:18:42,2021-04-20 15:50:11,Cinderalla,Excellent (5),Resolved,,Ticket Portal,Data Privacy HIPAA Resolved High Finance
T143,Low,Texas,Data Privacy,GDPR,Legal,On Prem Server,2021-04-16 18:38:33,2021-04-16 18:40:18,2021-04-27 20:27:00,Aleena,Good (4),Resolved,,Ticket Portal,Data Privacy GDPR Resolved Low Legal
T144,High,New York,Data Leak,Vishing,Finance,On Prem Cloud,2021-04-19 11:21:48,2021-04-19 11:22:13,2021-04-19 19:32:30,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Leak Vishing Advised for a risk assessment High Finance
T145,Medium,Nevada,Security Gap,Password non-expiry,IT,On Prem Server,2021-04-19 14:05:56,2021-04-19 14:06:24,2021-04-27 11:05:49,Kareema,Excellent (5),Resolved,,Ticket Portal,Security Gap Password non-expiry Resolved Medium IT
T146,Low,California,Data Privacy,GDPR,Manufacturing,Vendor Cloud,2021-04-19 15:49:15,2021-04-19 15:51:10,2021-04-19 15:51:10,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy GDPR Advised for a risk assessment Low Manufacturing
T147,Medium,Illinois,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-04-19 16:50:23,2021-04-19 16:51:09,2021-04-20 11:04:03,Michael,Good (4),Resolved,,Personal Call,Data Privacy Privacy Assessment Resolved Medium IT
T148,Low,California,Cyber Consultation,New Application Launch,IT,On Prem Cloud,2021-04-20 07:11:01,2021-04-20 07:15:32,2021-06-30 09:29:43,Michael,Excellent (5),Resolved,,Ticket Portal,Cyber Consultation New Application Launch Resolved Low IT
T149,High,Pennsylvania,Cyber Security Breach,Malware Attack,HR,On Prem Cloud,2021-04-20 14:36:41,2021-04-20 14:37:11,2021-04-20 15:15:40,Michael,Good (4),Resolved,,Ticket Portal,Cyber Security Breach Malware Attack Resolved High HR
T15,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,2021-01-10 17:10:40,2021-01-10 17:15:26,2021-01-20 10:34:05,Bob,Satisfactory (3),Advised for a risk assessment,,Personal Call,Data Privacy PCI-DSS Advised for a risk assessment Low Legal
T150,Low,California,Security Gap,Unauthorized access,IT,Vendor Cloud,2021-04-20 15:37:47,2021-04-20 15:45:35,2021-04-23 18:44:18,Cinderalla,Good (4),Resolved,,Ticket Portal,Security Gap Unauthorized access Resolved Low IT
T151,High,Utah,Data Privacy,GDPR,Marketing,On Prem Server,2021-04-20 17:31:20,2021-04-20 17:37:43,2021-04-20 20:30:03,Martina,Satisfactory (3),Recommended Threat Assessment,,Mail,Data Privacy GDPR Recommended Threat Assessment High Marketing
T152,Low,North Carolina,Data Privacy,HIPAA,Marketing,On Prem Server,2021-04-20 17:55:42,2021-04-20 17:57:43,2021-04-27 19:50:22,Sebastian,Unsatisfactory (2),Recommended Threat Assessment,No,Mail,Data Privacy HIPAA Recommended Threat Assessment Low Marketing
T153,Low,Arizona,Data Privacy,HIPAA,HR,On Prem Server,2021-04-20 18:45:24,2021-04-20 18:45:57,2021-04-20 18:47:18,Sean,Excellent (5),Resolved,,Mail,Data Privacy HIPAA Resolved Low HR
T154,High,Texas,Cyber Consultation,New Application Launch,Finance,On Prem Cloud,2021-04-20 19:59:07,2021-04-20 19:59:47,2021-04-21 12:56:41,Sean,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal,Cyber Consultation New Application Launch Recommended Threat Assessment High Finance
T155,High,Florida,Cyber Security Breach,Firewall,HR,On Prem Server,2021-04-20 23:49:28,2021-04-21 11:23:46,2021-04-21 11:23:46,Sean,Satisfactory (3),Resolved,,Personal Call,Cyber Security Breach Firewall Resolved High HR
T156,High,Minnesota,Cyber Consultation,Third Party Engagement,IT,On Prem Server,2021-04-21 10:56:18,2021-04-21 10:59:08,2021-04-21 11:00:07,Sean,Good (4),Resolved,,Ticket Portal,Cyber Consultation Third Party Engagement Resolved High IT
T157,Medium,North Carolina,Data Privacy,PCI-DSS,IT,Vendor Cloud,2021-04-21 11:45:29,2021-04-21 11:45:51,2021-04-22 14:50:54,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy PCI-DSS Recommended Threat Assessment Medium IT
T158,Medium,California,Cyber Consultation,Segregation of Duties,Manufacturing,On Prem Server,2021-04-21 11:58:49,2021-04-21 11:59:06,2021-04-22 14:49:27,Kareema,Good (4),Resolved,,Mail,Cyber Consultation Segregation of Duties Resolved Medium Manufacturing
T159,Medium,Florida,Cyber Consultation,Application Offboarding,IT,On Prem Server,2021-04-21 22:38:34,2021-04-21 23:30:13,2021-04-26 19:35:43,Martina,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Application Offboarding Advised for a risk assessment Medium IT
T16,Medium,California,Data Leak,Vishing,Marketing,On Prem Server,2021-01-10 17:10:40,2021-01-10 17:15:26,2021-01-20 10:34:05,Bob,Excellent (5),Advised for a risk assessment,,Mail,Data Leak Vishing Advised for a risk assessment Medium Marketing
T160,High,California,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,2021-04-22 02:13:54,2021-04-22 09:47:12,2021-05-03 09:49:34,Sean,Excellent (5),Resolved,,Ticket Portal,Cyber Security Breach Firewall Resolved High Marketing
T161,High,California,Cyber Consultation,Segregation of Duties,IT,On Prem Server,2021-04-22 10:17:50,2021-04-22 10:18:17,2021-04-22 12:40:53,Allan,Excellent (5),Resolved,,Mail,Cyber Consultation Segregation of Duties Resolved High IT
T162,Low,California,Cyber Consultation,Application Offboarding,Finance,On Prem Server,2021-04-22 11:08:08,2021-04-22 11:11:08,2021-04-22 12:35:57,Allan,Good (4),Recommended Threat Assessment,,Mail,Cyber Consultation Application Offboarding Recommended Threat Assessment Low Finance
T163,Low,Virginia,Security Gap,Unauthorized access,HR,On Prem Server,2021-04-22 11:18:22,2021-04-22 11:18:38,2021-04-22 12:33:25,Allan,Good (4),Advised for a risk assessment,,Personal Call,Security Gap Unauthorized access Advised for a risk assessment Low HR
T164,Medium,Arizona,Cyber Consultation,Application Offboarding,HR,Vendor Cloud,2021-04-22 14:54:20,2021-04-22 14:54:36,2021-04-27 11:00:04,Kareema,Unsatisfactory (2),Recommended Threat Assessment,No,Personal Call,Cyber Consultation Application Offboarding Recommended Threat Assessment Medium HR
T165,Low,New York,Cyber Consultation,Encryption,HR,On Prem Server,2021-04-22 15:21:42,2021-04-22 15:22:03,2021-04-22 18:59:34,Kareema,Unsatisfactory (2),Advised for a risk assessment,No,Ticket Portal,Cyber Consultation Encryption Advised for a risk assessment Low HR
T166,Medium,New York,Cyber Consultation,New Application Launch,HR,On Prem Server,2021-04-23 13:18:53,2021-04-23 13:22:23,2021-04-26 14:13:34,Sean,Unsatisfactory (2),Resolved,Yes,Ticket Portal,Cyber Consultation New Application Launch Resolved Medium HR
T167,Low,Oregon,Data Privacy,GDPR,Finance,On Prem Cloud,2021-04-23 16:42:11,2021-04-23 16:44:40,2021-04-23 17:07:19,Bob,Good (4),Resolved,,Ticket Portal,Data Privacy GDPR Resolved Low Finance
T168,High,Illinois,Security Gap,Obsolete Software,IT,Vendor Cloud,2021-04-25 16:48:41,2021-04-25 16:48:41,2021-04-25 16:48:41,Bob,Excellent (5),Resolved,,Ticket Portal,Security Gap Obsolete Software Resolved High IT
T169,High,Minnesota,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-04-25 16:50:31,2021-04-26 06:57:49,2021-05-18 17:58:50,Robbin,Excellent (5),Advised for a risk assessment,,Personal Call,Cyber Security Breach Malware Attack Advised for a risk assessment High HR
T17,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,2021-01-10 17:24:24,2021-01-10 17:26:05,2021-01-21 20:07:29,Aleena,Unsatisfactory (2),Resolved,No,Ticket Portal,Data Leak Phishing Resolved Low Manufacturing
T170,Low,Florida,Data Privacy,HIPAA,Legal,On Prem Cloud,2021-04-26 14:26:15,2021-04-26 14:30:26,2021-04-28 13:05:31,Veronica,Satisfactory (3),Resolved,,Ticket Portal,Data Privacy HIPAA Resolved Low Legal
T171,High,Florida,Cyber Security Breach,Trojan Attack,Marketing,On Prem Server,2021-04-26 21:59:30,2021-04-27 11:01:52,2021-06-24 15:37:12,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal,Cyber Security Breach Trojan Attack Advised for a risk assessment High Marketing
T172,Low,Arizona,Data Privacy,HIPAA,Legal,Vendor Cloud,2021-04-27 19:03:33,2021-04-27 19:07:11,2021-05-18 16:00:09,Charlotte,Excellent (5),Advised for a risk assessment,,Mail,Data Privacy HIPAA Advised for a risk assessment Low Legal
T173,Medium,Missouri,Cyber Consultation,Third Party Engagement,HR,Vendor Cloud,2021-04-27 19:03:33,2021-04-27 19:07:11,2021-05-18 16:00:09,Charlotte,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal,Cyber Consultation Third Party Engagement Advised for a risk assessment Medium HR
T174,High,Louisiana,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-04-27 19:20:01,2021-04-27 19:31:20,2021-04-29 21:00:26,Sylviya,Excellent (5),Resolved,,Ticket Portal,Cyber Security Breach Malware Attack Resolved High IT
T175,High,Tennessee,Data Privacy,PCI-DSS,HR,On Prem Server,2021-04-27 19:20:01,2021-04-27 19:31:20,2021-04-29 21:00:26,Sylviya,Excellent (5),Advised for a risk assessment,,Mail,Data Privacy PCI-DSS Advised for a risk assessment High HR
T176,Low,Virginia,Data Privacy,Privacy Assessment,HR,Vendor Cloud,2021-04-28 21:21:24,2021-04-28 21:24:34,2021-04-30 18:00:53,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy Privacy Assessment Recommended Threat Assessment Low HR
T177,High,Kansas,Security Gap,Password non-expiry,HR,Vendor Cloud,2021-04-28 21:21:24,2021-04-28 21:24:34,2021-04-30 18:00:53,Martina,Good (4),Advised for a risk assessment,,Personal Call,Security Gap Password non-expiry Advised for a risk assessment High HR
T178,Medium,Virginia,Cyber Consultation,Encryption,Finance,On Prem Server,2021-04-28 21:49:04,2021-04-28 22:09:29,2021-05-14 00:11:24,Sean,Satisfactory (3),Advised for a risk assessment,,Mail,Cyber Consultation Encryption Advised for a risk assessment Medium Finance
T179,Low,Arizona,Data Privacy,HIPAA,IT,On Prem Server,2021-04-28 21:49:04,2021-04-28 22:09:29,2021-05-14 00:11:24,Sean,Excellent (5),Advised for a risk assessment,,Mail,Data Privacy HIPAA Advised for a risk assessment Low IT
T18,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,2021-01-10 17:24:24,2021-01-10 17:26:05,2021-01-21 20:07:29,Aleena,Satisfactory (3),Advised for a risk assessment,,Mail,Cyber Security Breach Firewall Advised for a risk assessment High IT
T180,Low,Pennsylvania,Cyber Consultation,New Application Launch,HR,On Prem Server,2021-04-28 22:11:07,2021-04-28 22:11:07,2021-04-28 22:11:07,Sean,Satisfactory (3),Resolved,,Personal Call,Cyber Consultation New Application Launch Resolved Low HR
T181,Low,Colorado,Security Gap,Password non-expiry,HR,Vendor Cloud,2021-04-28 22:11:07,2021-04-28 22:11:07,2021-04-28 22:11:07,Sean,Good (4),Advised for a risk assessment,,Ticket Portal,Security Gap Password non-expiry Advised for a risk assessment Low HR
T182,Low,Illinois,Data Privacy,HIPAA,Finance,On Prem Server,2021-04-28 22:17:54,2021-04-28 22:19:59,2021-05-04 16:20:45,Sean,Unsatisfactory (2),Resolved,Yes,Personal Call,Data Privacy HIPAA Resolved Low Finance
T183,High,Illinois,Cyber Security Breach,Firewall,Finance,On Prem Server,2021-04-28 22:17:54,2021-04-28 22:19:59,2021-05-04 16:20:45,Sean,Good (4),Resolved,,Ticket Portal,Cyber Security Breach Firewall Resolved High Finance
T184,Low,Texas,Data Privacy,HIPAA,Finance,Vendor Cloud,2021-04-29 01:56:24,2021-04-29 07:47:41,2021-07-16 12:57:21,Robbin,Good (4),Advised for a risk assessment,,Mail,Data Privacy HIPAA Advised for a risk assessment Low Finance
T185,High,Oregon,Cyber Consultation,Application Offboarding,Manufacturing,On Prem Server,2021-04-29 01:56:24,2021-04-29 07:47:41,2021-07-16 12:57:21,Robbin,Satisfactory (3),Recommended Threat Assessment,,Mail,Cyber Consultation Application Offboarding Recommended Threat Assessment High Manufacturing
T186,Low,New York,Data Leak,Phishing,IT,Vendor Cloud,2021-04-29 14:28:32,2021-04-29 14:29:07,2021-09-27 18:58:05,Robbin,Unsatisfactory (2),Resolved,Yes,Mail,Data Leak Phishing Resolved Low IT
T187,High,Indiana,Data Privacy,GDPR,Manufacturing,On Prem Cloud,2021-04-29 15:28:29,2021-04-29 15:28:29,2021-04-29 15:28:29,Bob,Excellent (5),Advised for a risk assessment,,Mail,Data Privacy GDPR Advised for a risk assessment High Manufacturing
